run_id,condition,duration_h,rep,agents,n_games,gini,n_offers,n_purchases,buy_rate,n_chat
run_k171het0ovc8cg,A1 (no mkt),1.0,1,6,300,0.053289950025600795,0,0,0.0,0
run_vrtjyprxpag8qy,A1 (no mkt),1.0,2,6,300,0.03911832479704052,0,0,0.0,0
run_vskkr3r3ov8jeq,B1 (full env),1.0,1,6,300,0.007091189885614918,38,14,0.3684210526315789,200
run_7w9i4y0spafbbj,B1 (full env),1.0,2,6,300,0.017520543321536765,42,9,0.21428571428571427,200
run_oa7r0sc1pd876i,Hetero (full),1.0,1,6,300,0.0445391831706523,19,9,0.47368421052631576,188
run_hcgt8jiaqpv1r5,Hetero (full),1.0,2,6,300,0.036703981966969695,20,14,0.7,200
run_vn0kkhf8pd8faz,Homo GPT,1.0,1,6,300,0.020333168217002748,8,13,1.625,191
run_vrthglo8qpvabb,Competitive,1.0,1,6,300,0.007398699066919934,2,0,0.0,181
run_fml59hvpshuew6,Adversarial,1.0,1,6,300,0.02823605278950621,7,0,0.0,78
run_u7d7q3kpshuk59,Bad actor,1.0,1,6,300,0.06032088368121205,28,7,0.25,90
run_bpcpv0awsiqp15,No reviews,1.0,1,8,300,0.05901258147669683,16,0,0.0,21
run_1dnl6vtlsiq5pb,A1 (no mkt),3.0,3,8,300,0.059389940804931936,0,0,0.0,0
run_x32qdlx4siq1pk,B1 (full env),3.0,3,8,300,0.044880479298349873,45,9,0.2,105
run_isj7ubddsisynd,Hetero (full),3.0,3,8,300,0.04258930300964693,23,9,0.391304347826087,200
run_ts13lewssiqa0x,Competitive,3.0,2,8,300,0.06493722892104759,8,1,0.125,34
run_sub8j16vsiqezi,Adversarial,3.0,2,8,300,0.018867683325881932,22,0,0.0,42
run_r3drk73gsiqkoa,Bad actor,3.0,2,8,300,0.07335592822707511,46,10,0.21739130434782608,118
run_5bcaq5c5skri6t,No reviews,3.0,2,8,300,0.036081972958384396,28,1,0.03571428571428571,47
run_pxcchuz7sisn0d,Additive (confounded),3.0,1,8,300,0.01668110048770408,50,881,17.62,94
run_rap9xfrst9jyzd,Hetero baseline,3.0,1,8,16,0.035356341590299586,0,0,0.0,0
run_v0ke7u5mt9k84x,Hetero (full),3.0,4,8,16,0.023243498046232387,63,9,0.14285714285714285,482
run_x62b63l5tkp3cg,Hetero baseline,3.0,2,8,16,0.04603088866896384,0,0,0.0,0
run_a4ubdvpptkpekw,B1 (full env),3.0,4,8,16,0.01276446482680357,99,17,0.1717171717171717,825
run_lj7qu06ktkpp5e,Hetero (full),3.0,5,8,16,0.061001389694232376,47,12,0.2553191489361702,618
run_57vd316xyfk16q,Clean additive,3.0,1,8,300,0.016189572335814098,50,32,0.64,200
run_kf2kp5qrz0mmsy,Clean additive,3.0,2,8,400,0.008753009318346952,97,32,0.32989690721649484,200
run_5ejgk15qzwkqyk,B1 (full env),6.0,7,8,400,0.009208745824311346,154,34,0.22077922077922077,200
run_dblkxlpy1udeei,Clean additive,3.0,3,8,400,0.012130604499737265,88,31,0.3522727272727273,170
run_ruh1jenp1udfke,Clean additive,3.0,4,8,400,0.008574074895663,74,33,0.44594594594594594,178
run_yrajp77a1udd84,B1 (full env),3.0,5,8,400,0.02146334836157163,61,11,0.18032786885245902,121
run_74ks03yd1udc27,B1 (full env),3.0,6,8,400,0.010743808998345499,60,12,0.2,144
run_dxfjtmfa1udf6a,No reviews,3.0,3,8,400,0.025697736272247067,38,4,0.10526315789473684,104
run_pkploa771udfhc,No reviews + additive,3.0,1,8,400,0.04035177252290447,52,55,1.0576923076923077,156
run_zaeqhzla1udfcf,No reviews + additive,3.0,2,8,400,0.005791761131613627,73,68,0.9315068493150684,164
run_4mo6nm0q1udf06,Hetero + additive,3.0,1,8,400,0.0560561371886252,30,16,0.5333333333333333,54
run_q4p4v3n51udcmv,Hetero + additive,3.0,2,8,400,0.05968733909821326,30,13,0.43333333333333335,64
run_6ajrbhvx1uddt7,Clean additive,6.0,5,8,400,0.025496902493990354,128,41,0.3203125,200
run_uqv8d2ir21mhxq,Homo Opus 4.7 B1,3.0,1,8,400,0.014083580281957461,0,0,0.0,200
run_cpvw7kfp21n1qg,Hetero Opus47/Sonnet46,3.0,1,8,400,0.05359069077249229,41,7,0.17073170731707318,200
